ANO	ID_BARRIO	ID_DISTRITO	ID_USO	NUM_INMUEBLES	ANO_CONS_MEDIO	SUP_CONS	SUP_SUELO	VALOR_CATASTRAL
2014	022	02	R	4	1986	6551		6954770.17
2014	022	02	V	17514	1976	1644676		2083209809.63
2014	022	02	Y	7	1983	18950		25125809.68
2014	023	02	A	2170	1983	110483		47301698.25
2014	023	02	C	656	1955	88898		109419971.53
2014	023	02	E	25	1962	33380		29747172.99
2014	023	02	G	11	1931	5038		6279420.68
2014	023	02	I	23	1958	47222		28103947.04
2014	023	02	K	2	1966	360		367150.65
2014	023	02	M	2			1168	58866
2014	023	02	O	94	1959	18564		15095156.16
2014	023	02	R	3	1961	3626		3099098.26
2014	023	02	V	9400	1957	767964		903633826.18
2014	023	02	Y	10	1954	4303		5764630.78
2014	024	02	A	7626	2003	279063		132625240.63
2014	024	02	C	410	1988	94023		112775416.79
2014	024	02	E	2	1997	8450		11169786.89
2014	024	02	I	95	1977	45951		32545499.05
2014	024	02	M	56			516615	40654746
2014	024	02	O	192	1975	137684		192675875.9
2014	024	02	T	2	1987	5237		7077685.16
2014	024	02	V	8519	1997	893428		1268284683.67
2014	024	02	Y	4	2006	26351		35333246.43
2014	025	02	A	6269	1996	270659		126728943.68
2014	025	02	C	713	1962	105998		136793852.16
2014	025	02	E	9	1968	60906		58963110.3
2014	025	02	G	5	1957	4262		7146628.46
2014	025	02	I	36	1960	145148		103437041.06
2014	025	02	K	4	1978	5608		5309791.24
2014	025	02	M	39			57186	72043655
2014	025	02	O	161	1974	266034		372841891.61
2014	025	02	P	5	1941	40230		39253400.24
2014	025	02	R	1	1963	3151		2768617.18
2014	025	02	V	13214	1970	1229382		1524180918.12
2014	025	02	Y	4	1972	14065		19778609.4
2014	026	02	A	4174	1991	227837		104995401.83
2014	026	02	C	1041	1949	161050		196624100.51
2014	026	02	E	17	1963	80520		73750777.71
2014	026	02	G	19	1941	39644		55240977
2014	026	02	I	44	1967	68255		61294847.41
2014	026	02	K	5	1966	13327		16391061.44
2014	026	02	M	30			18669	7975378.72
2014	026	02	O	320	1974	115723		138599065.58
2014	026	02	P	5	1957	24961		20798800.1
2014	026	02	R	12	1956	7585		6793371.27
2014	026	02	T	3	1973	20738		24018469.87
2014	026	02	V	13316	1953	1159901		1359643609.43
2014	026	02	Y	2	1999	8736		9394593.17
2014	027	02	A	418	1993	47806		36964207.48
2014	027	02	C	25	1977	115849		159802862.7
2014	027	02	E	1	2013	7482		5897608.5
2014	027	02	I	24	1968	199205		300035097.48
2014	027	02	M	96			79238	85787472.6
2014	027	02	O	135	1993	123242		198099435.53
2014	027	02	T	1	1997	18565		22926445.56
2014	027	02	V	486	1996	52360		79729051.15
2014	031	03	A	6374	1987	351890		143269426.49
2014	031	03	C	945	1959	160214		198465853.61
2014	031	03	E	17	1946	35227		30789919.9
2014	031	03	G	1	1994	1638		2073396.78
2014	031	03	I	41	1965	15616		13170766.49
2014	031	03	K	5	1952	754		1083351.5
2014	031	03	M	28			55096	86412104.32
2014	031	03	O	369	1968	138471		169410969.5
2014	031	03	P	7	1957	43905		31600249.33
2014	031	03	R	2	1971	6085		7431194.79
2014	031	03	V	16729	1964	1607604		2057407283
2014	031	03	Y	1	1955	152		154941.33
2014	032	03	A	5930	1997	234577		106837068.25
2014	032	03	C	313	1976	47387		63024618.84
2014	032	03	E	3	1957	9392		7418093.56
2014	032	03	G	9	1976	12411		23101450.92
2014	032	03	I	58	1978	30072		22737221.78
2014	032	03	K	4	1983	3277		2808710.33
2014	032	03	M	41			50377	36615645.4
2014	032	03	O	134	1971	75142		90980531.2
2014	032	03	R	2	1970	1349		1488571.7
2014	032	03	V	8475	1983	840071		1155566801.56
2014	032	03	Y	5	1988	34553		31734641.01
2014	033	03	A	4545	1984	275303		129608057.63
2014	033	03	C	314	1971	36537		48739785.43
