"CMUN" "ETIQUETA" "MUNICIPIO" "DIRECCIÓN" "lon" "lat"
"005" "Bricor" "Alcalá de Henares" "Avenida Juan Carlos I s/n c/v Avenida Carlos III" -3.39823338107237 40.4828799397124
"074" "Bricor" "Leganés" "Calle de la Primavera, 1 (Centro Comercial Arroyo Sur)" -3.7737539346728 40.3007697242611
"015" "Bricor" "Arroyomolinos" "Calle Puerto de Somosierra, s/n (Centro Comercial Madrid Xanadú)" -3.93469974505695 40.2971975166905
"079" "Bricor" "Madrid" "Calle Goya, 85 (Centro Comercial Goya)" -3.67541797527439 40.4262465190057
"079" "Bricor" "Madrid" "Calle Princesa, 47 (Edificio Ocio, Sótano 1)" -3.71488764451674 40.4312305540457
"079" "Ikea" "Madrid" "Calle Alto del Retiro , 33 (Centro Comercial La Gavia)" -3.5947028650093 40.3713989188714
"005" "Worten" "Alcalá de Henares" "Ctra. Nacional II, km. 34 - Calle Humanes, 2 (Centro Comercial La Dehesa)" -3.32787584619301 40.5059831686852
"007" "Worten" "Alcorcón" "Avenida Europa, s/n c/v Calle Luxemburgo (Centro Comercial Parque Oeste)" -3.84718815710265 40.3493696872469
"074" "Worten" "Leganés" "Avenida Puerta del Sol, 2-Ctra m-425 (Parque Comercial Plaza Nueva)" -3.75852762263578 40.3448822801294
"134" "Worten" "San Sebastián de los Reyes" "Plaza del Comercio, 2 (Autovía A-1 Salidas 17 y 19-Centro Comercial Megapark)" -3.60917903089955 40.5463995302966
"065" "Worten" "Getafe" "Calle Rio Guadalquivir,7 (Centro de Ocio Nassica)" -3.69730459101232 40.2732301088578
"080" "Worten" "Majadahonda" "Calle Fresa, 2 (Centro Comercial Equinoccio)" -3.87287146632047 40.4558821739361
"123" "Worten" "Rivas - Vaciamadrid" "Calle María Montessori, 1 (Parque Comercial Rivas Futura)" -3.52918397409067 40.337039370113
"079" "Worten" "Madrid" "Calle Gaztambide, 4" -3.71431946046419 40.432125933176
"074" "Verdecora" "Leganés" "Avenida Gran Bretaña, s/n (Centro Comercial Parquesur)" -3.73372777177095 40.3379883043694
"074" "Verdecora" "Leganés" "Autovía M-50, salida 53 (Polígono La Laguna)" -3.78327625930453 40.309240293429
"080" "Verdecora" "Majadahonda" "Ctra. Boadilla a Majadahonda (M-516), km. 6" -3.87614262544391 40.4580478072044
"152" "Verdecora" "Torrelodones" "Ctra. Nacional VI  (Madrid- A Coruña km. 28.500)" -3.91496185725261 40.5688135702845
"005" "Bricodepot" "Alcalá de Henares" "Ctra. Nacional II, km. 34 (Doña Inés de Ulloa, 2) Centro Comercial Los Cuadernillos" -3.33292887267944 40.5063290708502
"065" "Bricodepot" "Getafe" "Avenida Isaac Newton, 1 (Parque Empresarial La Carpetania)" -3.69114678907978 40.289593262579
"074" "Bricomart" "Leganés" "Avenida Puerta del Sol, 2-Ctra m-425 (Parque Comercial Plaza Nueva)" -3.75856424661659 40.3468509310421
"123" "Bricomart" "Rivas - Vaciamadrid" "Avenida de la Técnica, s/n (Ctra. A3 - salida 17-Parque Rivas)" -3.53396782060339 40.3424343168151
"079" "Sport Zone" "Madrid" "Calle Calderilla, 1 (Centro Comercial Isla Azul)" -3.73776557830418 40.3649802307724
"079" "Media Mark" "Madrid" "Calle Calderilla, 1 (Centro Comercial Isla Azul)" -3.73634365240539 40.3652685675808
"007" "Sport Zone" "Alcorcón" "Avenida América, 7-9 (Centro Comercial Tres Aguas)" -3.82920013868259 40.3597752868277
"148" "Sport Zone" "Torrejón de Ardoz" "Ctra. Ajalvir, km. 5,500 (Centro Comercial Parque Corredor)" -3.47865661411426 40.4773047344183
"015" "Sport Zone" "Arroyomolinos" "Calle Puerto de Navacerrada, s/n-Autovía A5 - salidas 22 y 25 (C. Comercial Madrid Xanadú)" -3.9247311557414 40.3013183077601
"007" "Sport Zone" "Alcorcón" "Avenida de Europa, 4 (Centro Comercial Parque Oeste)" -3.84753344148154 40.3510546289609
"080" "Sport Zone" "Majadahonda" "Calle de los Químicos, s/n (Urbanización Carril de Tejar-Centro Comercial Gran Plaza 2)" -3.89710195486816 40.4927774383796
"130" "Decathlon" "San Fernando de Henares" "Ctra. Nacional II, (A-2) Km.16 (Parque Comercial Camino Real)" -3.52211989596469 40.4487299588302
"130" "Worten" "San Fernando de Henares" "Ctra. Nacional II, (A-2) Km.16 (Parque Comercial Camino Real)" -3.52187975093843 40.4479354534742
"079" "Media Mark" "Madrid" "Paseo Castellana, 204 (Centro Comercial Castellana 200)" -3.68739803400014 40.4638557705423
"007" "Conforama" "Alcorcón" "Avenida de Europa, 5 (Centro Comercial Parque Oeste)" -3.84771891608185 40.349108814406
"065" "Conforama" "Getafe" "Calle Rio Guadalquivir,7 (Centro de Ocio Nassica)" -3.6939572880859 40.273740371342
"134" "Conforama" "San Sebastián de los Reyes" "Plaza del Comercio, 2 (Autovía A-1 Salidas 17 y 19-Centro Comercial Megapark)" -3.6133142607149 40.5449761550211
"005" "Conforama" "Alcalá de Henares" "Ctra. Nacional II, km. 34. (Calle Humanes, 1) Centro Comercial La Dehesa" -3.326504600924 40.5061646003053
