"bathrooms","exterior","price","rooms","size","longitude","latitude"
2,TRUE,262000,3,90,-3.7028147,40.4010568
2,TRUE,220000,3,109,-3.71774,40.47742
1,TRUE,199500,4,90,-3.6992641,40.4544147
8,FALSE,1.2e+07,8,1035,-3.6840124,40.449354
2,TRUE,1485000,3,275,-3.6804978,40.428308
4,FALSE,670000,5,260,-3.6144988,40.4482204
4,TRUE,1350000,4,212,-3.686059,40.4286882
1,TRUE,112000,1,60,-3.6531031,40.3889793
1,FALSE,114200,3,64,-3.6130733,40.4110279
1,TRUE,340000,2,114,-3.6786384,40.4538076
1,TRUE,90000,2,60,-3.7584771,40.3730476
1,TRUE,165000,2,65,-3.7217694,40.4802209
2,TRUE,265000,3,110,-3.6974389,40.3966365
4,FALSE,1490000,5,370,-3.776947,40.4541593
1,TRUE,189340,1,73,-3.6662586,40.4879873
2,TRUE,225000,3,100,-3.7516678,40.3723632
2,TRUE,365000,2,110,-3.639965,40.4072716
1,FALSE,188000,2,49,-3.7123866,40.4328597
2,TRUE,225000,3,111,-3.7011533,40.4575666
2,TRUE,3e+05,1,101,-3.6908714,40.3923715
4,TRUE,1150000,5,275,-3.6961925,40.4156553
1,FALSE,199900,2,74,-3.6734702,40.4055743
1,TRUE,175000,1,73,-3.6662586,40.4879873
1,TRUE,189000,1,53,-3.6181333,40.4382907
1,TRUE,132000,1,77,-3.6733256,40.4022079
3,TRUE,850000,4,187,-3.6727946,40.4658249
1,TRUE,430000,2,99,-3.654267,40.4863959
2,TRUE,415000,3,118,-3.6715205,40.5073922
1,FALSE,160448,3,81,-3.6099261,40.4436374
1,TRUE,85000,3,65,-3.6634253,40.3980691
1,TRUE,169000,3,77,-3.6435279,40.440942
3,TRUE,1600000,5,250,-3.6756308,40.4496742
1,TRUE,170000,2,50,-3.7006794,40.4624417
1,TRUE,59900,2,62,-3.7559193,40.3689176
1,FALSE,212000,1,52,-3.7031382,40.4089624
2,TRUE,380000,4,140,-3.6972214,40.487183
2,TRUE,379990,3,129,-3.6549852,40.4948839
4,TRUE,2190000,6,479,-3.7242269,40.4307109
1,TRUE,325000,2,76,-3.6755658,40.4466319
2,TRUE,320000,2,92,-3.5883853,40.3616724
2,TRUE,520800,3,130,-3.5896295,40.4447765
1,TRUE,67900,3,85,-3.7104626,40.347445
2,TRUE,450000,3,179,-3.6664186,40.4342081
4,TRUE,1275300,3,196,-3.6940358,40.4325871
3,TRUE,650000,5,160,-3.6783866,40.4389405
2,TRUE,460000,3,121,-3.7100949,40.4366257
1,TRUE,140000,2,62,-3.6145526,40.4404291
1,TRUE,165000,2,80,-3.7010687,40.4099712
1,TRUE,77600,3,49,-3.7409307,40.3756729
2,TRUE,310000,3,91,-3.61676,40.4377
4,FALSE,1190000,5,407,-3.734328,40.4801485
4,TRUE,473744,4,199,-3.6116494,40.4869744
5,FALSE,1200000,7,500,-3.7656372,40.4527465
2,FALSE,525000,3,140,-3.7800795,40.4494659
1,FALSE,190000,3,75,-3.6946077,40.4613007
8,FALSE,1200000,6,650,-3.7929546,40.4602196
2,TRUE,281000,2,104,-3.7021129,40.4607008
4,TRUE,494726,5,208,-3.6116494,40.4869744
1,FALSE,153000,0,51,-3.6986525,40.434782
6,FALSE,2650000,7,700,-3.6252046,40.5075694
1,TRUE,191000,2,70,-3.6731875,40.396047
1,FALSE,185500,3,68,-3.6432007,40.4391893
1,TRUE,59670,3,52,-3.6289303,40.4296377
4,FALSE,1150000,4,150,-3.7955993,40.4609563
4,FALSE,9e+05,4,145,-3.7922993,40.4607563
5,FALSE,4500000,8,550,-3.684438,40.4487953
2,TRUE,190000,2,80,-3.6441745,40.4751187
4,FALSE,990000,4,200,-3.7958993,40.4609563
4,FALSE,9e+05,4,420,-3.8307973,40.4777759
3,TRUE,401000,4,145,-3.6421366,40.5004449
2,TRUE,248000,2,94,-3.5891222,40.362427
1,FALSE,77200,3,56,-3.7120804,40.3450203
1,TRUE,75000,3,75,-3.7481001,40.3791446
3,TRUE,1380000,4,260,-3.6842704,40.4408047
6,FALSE,4950000,6,1200,-3.6298704,40.507248
2,TRUE,580000,5,217,-3.6708054,40.4266195
4,TRUE,473744,4,199,-3.6116494,40.4869744
4,FALSE,9e+05,5,300,-3.7774693,40.4601321
2,FALSE,890000,2,146,-3.6348789,40.5044729
4,TRUE,494726,5,208,-3.6116494,40.4869744
2,TRUE,259075,4,115,-3.6273657,40.4037782
2,TRUE,480000,4,147,-3.6827317,40.4007973
2,TRUE,250000,4,120,-3.6382641,40.3963464
4,TRUE,486117,4,204,-3.6116494,40.4869744
4,FALSE,845000,4,360,-3.79251,40.45645
1,FALSE,150000,3,72,-3.66939,40.36989
2,TRUE,8e+05,5,186,-3.6802524,40.4393466
1,FALSE,149000,3,68,-3.6481786,40.3816316
2,TRUE,290000,3,120,-3.6079037,40.3741193
4,TRUE,482933,5,203,-3.6116494,40.4869744
1,TRUE,120000,1,41,-3.7150207,40.3454468
1,FALSE,129000,3,69,-3.7075436,40.3801417
7,FALSE,2492000,7,1100,-3.8354106,40.4777726
1,FALSE,128500,2,60,-3.7464131,40.3909587
1,TRUE,265000,1,66,-3.6702678,40.5116944
2,TRUE,460000,4,180,-3.6606733,40.4962028
1,TRUE,490000,4,170,-3.6734466,40.444753
1,FALSE,80000,1,30,-3.6578187,40.4037873
1,FALSE,105000,3,67,-3.664136,40.4037303
2,TRUE,450000,2,90,-3.6909729,40.4114495
1,TRUE,88926,3,68,-3.6120887,40.4431271
1,FALSE,166500,4,86,-3.7530377,40.385519
1,TRUE,145000,2,56,-3.6367406,40.4709761
5,FALSE,1300000,4,240,-3.7627794,40.4565378
1,TRUE,165000,2,77,-3.6576637,40.4358915
3,TRUE,1750000,3,247,-3.6924091,40.4239291
2,TRUE,217000,4,107,-3.7474174,40.3825034
4,FALSE,1690000,5,304,-3.6665463,40.4225755
1,FALSE,159000,2,64,-3.727094,40.3952524
2,TRUE,365000,3,150,-3.6993875,40.4594422
2,TRUE,555000,4,173,-3.6755712,40.4068973
1,FALSE,157500,4,77,-3.6681699,40.3899616
3,TRUE,2750000,3,509,-3.6920508,40.4275175
2,TRUE,590000,4,145,-3.6789991,40.4309087
1,TRUE,47000,2,53,-3.6205488,40.3745936
2,TRUE,140000,4,108,-3.55505,40.3634898
1,TRUE,240000,3,127,-3.643065,40.4600908
2,TRUE,330000,3,120,-3.6421366,40.5004449
4,TRUE,2e+06,6,365,-3.681995,40.4256216
1,TRUE,170000,1,56,-3.6432949,40.4380685
4,FALSE,2800000,7,591,-3.7130698,40.4907855
2,TRUE,159075,2,85,-3.6780713,40.3480319
1,TRUE,150000,3,80,-3.7549248,40.3723314
3,TRUE,178000,4,125,-3.71422,40.39789
2,TRUE,430000,2,113,-3.7051879,40.4147196
1,TRUE,649827,2,82,-3.6813229,40.4344475
1,TRUE,130000,3,62,-3.6906276,40.4713817
7,FALSE,3600000,6,624,-3.6844517,40.459543
1,TRUE,120000,1,41,-3.6635208,40.4476376
1,TRUE,155000,1,49,-3.701968,40.343497
1,TRUE,220000,3,80,-3.717503,40.4682758
1,FALSE,160000,3,85,-3.7045805,40.4667786
5,TRUE,870000,5,257,-3.7079699,40.4991927
1,TRUE,270000,2,96,-3.7104965,40.4164946
1,TRUE,140000,1,50,-3.7301912,40.4110725
1,TRUE,65000,3,60,-3.6860263,40.3426776
2,TRUE,385000,3,196,-3.7531938,40.3624217
2,TRUE,465000,3,100,-3.6569051,40.4930746
3,TRUE,760000,4,150,-3.6520765,40.5122264
1,TRUE,184900,1,56,-3.6744052,40.5074397
1,FALSE,124000,2,46,-3.7083373,40.4073234
2,TRUE,360000,2,109,-3.698938,40.4014424
2,TRUE,995000,3,199,-3.6969652,40.4255618
2,TRUE,391000,3,142,-3.6421366,40.5004449
3,TRUE,1250000,3,238,-3.6964531,40.447939
2,TRUE,390000,6,132,-3.7011758,40.4064893
1,FALSE,285000,1,66,-3.7902573,40.4648357
4,TRUE,617857,4,260,-3.6116494,40.4869744
2,FALSE,380000,1,48,-3.7657946,40.4678568
4,TRUE,1200000,6,388,-3.713288,40.413287
4,TRUE,452469,4,190,-3.6116494,40.4869744
1,TRUE,45045,3,70,-3.7086333,40.3420932
4,TRUE,482634,5,203,-3.6116494,40.4869744
3,FALSE,345000,4,150,-3.7064825,40.4505515
2,FALSE,540000,2,105,-3.7856185,40.4703263
2,TRUE,240000,3,107,-3.6375984,40.4310696
1,TRUE,331000,1,50,-3.5942892,40.4619288
1,TRUE,250000,1,70,-3.6963487,40.4444892
1,TRUE,1e+06,5,360,-3.7076479,40.4211049
3,FALSE,670000,3,180,-3.660392,40.4071948
2,TRUE,450000,3,143,-3.7082113,40.4952584
2,TRUE,198000,1,61,-3.6992889,40.4363601
1,TRUE,90300,3,60,-3.6533077,40.4205612
2,FALSE,954450,5,174,-3.6747499,40.4202715
