Distrito,Barrio,Población,Fecha,GEOCODIGO
MORATALAZ,FONTARRON,17044,10/1/2013,079145
MORATALAZ,VINATEROS,17375,10/1/2013,079146
CIUDAD LINEAL,VENTAS,48726,10/1/2013,079151
CIUDAD LINEAL,PUEBLO NUEVO,61293,10/1/2013,079152
CIUDAD LINEAL,QUINTANA,24502,10/1/2013,079153
CIUDAD LINEAL,CONCEPCION,20792,10/1/2013,079154
CIUDAD LINEAL,SAN PASCUAL,18420,10/1/2013,079155
CIUDAD LINEAL,SAN JUAN BAUTISTA,12469,10/1/2013,079156
CIUDAD LINEAL,COLINA,6149,10/1/2013,079157
CIUDAD LINEAL,ATALAYA,1606,10/1/2013,079158
CIUDAD LINEAL,COSTILLARES,22483,10/1/2013,079159
HORTALEZA,PALOMAS,6718,10/1/2013,079161
HORTALEZA,PIOVERA,14380,10/1/2013,079162
HORTALEZA,CANILLAS,41611,10/1/2013,079163
HORTALEZA,PINAR DEL REY,53642,10/1/2013,079164
HORTALEZA,APOSTOL SANTIAGO,15466,10/1/2013,079165
HORTALEZA,VALDEFUENTES,41755,10/1/2013,079166
VILLAVERDE,SAN ANDRES,43313,10/1/2013,079171
VILLAVERDE,SAN CRISTOBAL,15634,10/1/2013,079172
VILLAVERDE,BUTARQUE,16270,10/1/2013,079173
VILLAVERDE,LOS ROSALES,37015,10/1/2013,079174
VILLAVERDE,LOS ANGELES,31149,10/1/2013,079175
VILLA DE VALLECAS,CASCO HISTORICO DE VALLECAS,73252,10/1/2013,079181
VILLA DE VALLECAS,SANTA EUGENIA,24854,10/1/2013,079182
VICALVARO,CASCO HISTORICO DE VICALVARO,50467,10/1/2013,079191
VICALVARO,AMBROZ,19362,10/1/2013,079192
SAN BLAS-CANILLEJAS,SIMANCAS,26275,10/1/2013,079201
SAN BLAS-CANILLEJAS,HELLIN,8981,10/1/2013,079202
SAN BLAS-CANILLEJAS,AMPOSTA,8241,10/1/2013,079203
SAN BLAS-CANILLEJAS,ARCOS,23556,10/1/2013,079204
SAN BLAS-CANILLEJAS,ROSAS,31850,10/1/2013,079205
SAN BLAS-CANILLEJAS,REJAS,14746,10/1/2013,079206
SAN BLAS-CANILLEJAS,CANILLEJAS,29188,10/1/2013,079207
SAN BLAS-CANILLEJAS,EL SALVADOR,11718,10/1/2013,079208
BARAJAS,ALAMEDA DE OSUNA,19789,10/1/2013,079211
BARAJAS,AEROPUERTO,1904,10/1/2013,079212
BARAJAS,CASCO HISTORICO DE BARAJAS,7483,10/1/2013,079213
BARAJAS,TIMON,9502,10/1/2013,079214
BARAJAS,CORRALEJOS,7193,10/1/2013,079215
