Date,Open,High,Low,Close,Volume
7-Aug-15,28.19,28.57,28.09,28.55,12680073
6-Aug-15,28.58,28.63,28.10,28.16,9167568
5-Aug-15,28.43,28.72,28.43,28.56,10476401
4-Aug-15,28.16,28.43,28.03,28.41,9727317
3-Aug-15,28.09,28.35,27.84,28.33,16138710
31-Jul-15,28.47,28.54,28.06,28.12,11864133
30-Jul-15,28.63,28.70,28.09,28.37,11812890
29-Jul-15,28.39,28.87,28.25,28.75,13841286
28-Jul-15,28.07,28.37,27.88,28.33,33249991
27-Jul-15,28.02,28.20,27.82,28.00,15915438
24-Jul-15,28.83,28.85,28.18,28.23,16134405
23-Jul-15,28.25,28.60,28.12,28.43,40433467
22-Jul-15,28.23,28.80,28.20,28.45,33660993
21-Jul-15,28.15,28.99,27.98,28.60,44336320
20-Jul-15,26.89,29.35,26.59,28.57,37485739
17-Jul-15,66.04,66.73,64.85,66.29,26169406
16-Jul-15,65.30,66.71,65.00,65.59,31025297
15-Jul-15,63.73,64.21,63.23,63.44,12970669
14-Jul-15,63.38,64.29,63.37,63.59,10984862
13-Jul-15,62.42,63.74,62.38,63.47,14748519
10-Jul-15,62.35,62.49,61.46,62.37,8502124
9-Jul-15,61.91,62.32,61.56,61.77,9137997
8-Jul-15,61.52,61.73,60.87,60.99,14301982
7-Jul-15,62.67,62.69,61.10,61.98,21087689
6-Jul-15,61.46,62.37,61.19,61.76,16172395
2-Jul-15,61.05,62.23,60.43,61.85,16497061
1-Jul-15,60.99,60.99,59.82,60.42,8249936
30-Jun-15,60.05,60.60,59.40,60.24,8664750
29-Jun-15,60.66,60.83,59.11,59.37,7653575
26-Jun-15,61.60,61.71,60.70,61.04,6690678
25-Jun-15,61.68,62.00,61.48,61.60,6005391
24-Jun-15,62.11,62.39,61.51,61.61,8430037
23-Jun-15,61.76,62.00,61.44,61.93,5533347
22-Jun-15,61.59,61.90,61.28,61.75,5167298
19-Jun-15,60.79,61.46,60.66,61.17,10540069
18-Jun-15,60.65,61.12,60.63,60.69,6987746
17-Jun-15,60.50,61.09,60.24,60.55,4559240
16-Jun-15,59.89,61.88,59.78,60.52,9411739
15-Jun-15,59.63,60.19,59.25,60.00,8105709
12-Jun-15,60.32,60.68,59.97,60.02,6916768
11-Jun-15,60.70,60.99,60.14,60.45,7099050
10-Jun-15,60.56,60.94,60.21,60.47,8881398
9-Jun-15,60.73,60.84,59.74,60.41,9551836
8-Jun-15,62.52,62.52,60.45,60.85,12336740
5-Jun-15,62.49,63.30,62.16,63.23,10098378
4-Jun-15,61.77,62.55,61.73,62.49,7723297
3-Jun-15,62.37,62.50,61.51,62.01,7914080
2-Jun-15,62.10,63.03,61.91,62.00,7093853
1-Jun-15,61.55,63.03,61.55,62.56,14098761
29-May-15,60.65,61.64,60.35,61.36,14680840
28-May-15,59.23,60.93,58.95,60.56,8989419
27-May-15,58.86,59.64,58.61,59.38,4278374
26-May-15,60.03,60.05,58.54,58.72,6309692
22-May-15,59.73,60.17,59.47,59.72,4542518
21-May-15,59.00,59.94,59.00,59.74,5144056
20-May-15,59.47,59.60,58.62,59.15,4903396
19-May-15,59.65,59.73,59.21,59.25,2942182
18-May-15,59.22,59.67,59.16,59.46,3936919
15-May-15,60.15,60.83,59.37,59.41,6181902
14-May-15,59.23,60.12,58.95,60.10,6108793
13-May-15,58.54,59.39,58.05,58.81,6374419
12-May-15,57.84,58.59,57.57,58.30,4561443
11-May-15,58.85,59.18,58.19,58.34,4560702
8-May-15,58.63,58.97,58.47,58.82,4820281
7-May-15,57.49,58.22,57.30,57.96,6625880
6-May-15,57.81,58.12,56.93,57.49,7014481
5-May-15,58.77,59.02,57.88,57.94,7878534
4-May-15,59.14,59.48,58.88,59.11,4129966
1-May-15,58.26,59.33,58.02,59.30,6853228
30-Apr-15,58.57,59.00,57.93,58.26,6285909
29-Apr-15,59.11,59.64,58.58,58.88,7271861
28-Apr-15,58.96,60.14,58.76,59.48,9443758
27-Apr-15,59.05,59.28,58.72,59.09,6904765
24-Apr-15,59.10,59.98,58.89,59.20,8691674
23-Apr-15,59.41,59.85,58.50,58.89,15701968
22-Apr-15,56.38,56.95,56.22,56.75,11053409
21-Apr-15,56.49,56.66,56.03,56.42,7438615
20-Apr-15,55.99,56.45,55.41,56.07,8691242
17-Apr-15,56.33,56.49,55.40,55.79,8919539
16-Apr-15,56.99,57.39,56.66,57.04,4415096
15-Apr-15,56.98,57.30,56.67,57.02,5178383
14-Apr-15,56.79,57.10,56.37,56.95,5073378
13-Apr-15,57.16,58.23,56.79,56.94,7020801
10-Apr-15,57.42,57.69,57.06,57.34,5094550
9-Apr-15,57.11,57.45,56.50,57.01,4869947
8-Apr-15,57.19,57.61,56.63,57.11,6875780
7-Apr-15,57.10,57.91,56.84,57.08,6840026
6-Apr-15,55.50,57.16,55.45,56.82,6189483
2-Apr-15,57.05,57.24,56.76,56.91,3544472
1-Apr-15,57.33,57.73,56.81,57.13,4939188
31-Mar-15,57.70,58.39,57.67,57.68,4857859
30-Mar-15,57.75,58.40,57.74,57.92,4763142
27-Mar-15,57.35,57.96,57.30,57.63,6067264
26-Mar-15,57.56,58.17,57.26,57.52,6548290
25-Mar-15,59.62,59.62,58.02,58.06,10582492
24-Mar-15,58.33,60.02,58.31,59.51,12523271
23-Mar-15,57.92,59.22,57.92,58.62,7417456
20-Mar-15,58.21,58.58,57.93,57.93,21583903
19-Mar-15,56.81,58.34,56.69,57.88,13573341
18-Mar-15,59.36,59.36,57.68,58.42,15651946
17-Mar-15,59.55,59.89,58.85,59.49,6890952
16-Mar-15,59.52,59.98,59.12,59.57,6324198
13-Mar-15,60.04,60.04,58.62,59.07,7867000
12-Mar-15,60.06,60.15,59.09,59.41,7425117
11-Mar-15,59.33,60.20,59.32,59.68,10799886
10-Mar-15,60.05,60.50,59.06,59.21,15744620
9-Mar-15,59.87,60.93,59.73,60.80,13773801
6-Mar-15,59.10,60.47,59.02,59.87,13804831
5-Mar-15,58.28,59.29,58.28,59.08,6883186
4-Mar-15,57.86,58.80,57.61,58.31,5791024
